,time,task,count,locate,date,PhName,comment,phName
8:30 8:45,8:30 8:45,,0,[],2025-2-3,,,name15
8:45 9:00,8:45 9:00,薬剤使用状況の把握等（情報収集）,0,[],2025-2-3,,,name15
9:00 9:15,9:00 9:15,薬剤使用状況の把握等（情報収集）,0,[],2025-2-3,,,name15
9:15 9:30,9:15 9:30,薬剤使用状況の把握等（情報収集）,0,[],2025-2-3,,,name15
9:30 9:45,9:30 9:45,薬剤使用状況の把握等（情報収集）,0,[],2025-2-3,,,name15
9:45 10:00,9:45 10:00,,0,[],2025-2-3,,,name15
10:00 10:15,10:00 10:15,,0,[],2025-2-3,,,name15
10:15 10:30,10:15 10:30,,0,[],2025-2-3,,,name15
10:30 10:45,10:30 10:45,その他,0,[],2025-2-3,,,name15
10:45 11:00,10:45 11:00,,0,[],2025-2-3,,,name15
11:00 11:15,11:00 11:15,,0,[],2025-2-3,,,name15
11:15 11:30,11:15 11:30,,0,[],2025-2-3,,,name15
11:30 11:45,11:30 11:45,,0,[],2025-2-3,,,name15
11:45 12:00,11:45 12:00,,0,[],2025-2-3,,,name15
12:00 12:15,12:00 12:15,,0,[],2025-2-3,,,name15
12:15 12:30,12:15 12:30,,0,[],2025-2-3,,,name15
12:30 12:45,12:30 12:45,,0,[],2025-2-3,,,name15
12:45 13:00,12:45 13:00,,0,[],2025-2-3,,,name15
13:00 13:15,13:00 13:15,,0,[],2025-2-3,,,name15
13:15 13:30,13:15 13:30,,0,[],2025-2-3,,,name15
13:30 13:45,13:30 13:45,,0,[],2025-2-3,,,name15
13:45 14:00,13:45 14:00,,0,[],2025-2-3,,,name15
14:00 14:15,14:00 14:15,,0,[],2025-2-3,,,name15
14:15 14:30,14:15 14:30,,0,[],2025-2-3,,,name15
14:30 14:45,14:30 14:45,,0,[],2025-2-3,,,name15
14:45 15:00,14:45 15:00,,0,[],2025-2-3,,,name15
15:00 15:15,15:00 15:15,,0,[],2025-2-3,,,name15
15:15 15:30,15:15 15:30,,0,[],2025-2-3,,,name15
15:30 15:45,15:30 15:45,,0,[],2025-2-3,,,name15
15:45 16:00,15:45 16:00,,0,[],2025-2-3,,,name15
16:00 16:15,16:00 16:15,,0,[],2025-2-3,,,name15
16:15 16:30,16:15 16:30,,0,[],2025-2-3,,,name15
16:30 16:45,16:30 16:45,,0,[],2025-2-3,,,name15
16:45 17:00,16:45 17:00,,0,[],2025-2-3,,,name15
17:00 17:15,17:00 17:15,,0,[],2025-2-3,,,name15
17:15 17:30,17:15 17:30,,0,[],2025-2-3,,,name15
17:30 17:45,17:30 17:45,,0,[],2025-2-3,,,name15
17:45 18:00,17:45 18:00,,0,[],2025-2-3,,,name15
18:00 18:15,18:00 18:15,,0,[],2025-2-3,,,name15
18:15 18:30,18:15 18:30,,0,[],2025-2-3,,,name15
18:30 18:45,18:30 18:45,,0,[],2025-2-3,,,name15
18:45 19:00,18:45 19:00,,0,[],2025-2-3,,,name15
19:00 19:15,19:00 19:15,,0,[],2025-2-3,,,name15
19:15 19:30,19:15 19:30,,0,[],2025-2-3,,,name15
19:30 19:45,19:30 19:45,,0,[],2025-2-3,,,name15
19:45 20:00,19:45 20:00,,0,[],2025-2-3,,,name15
20:00 20:15,20:00 20:15,,0,[],2025-2-3,,,name15
20:15 20:30,20:15 20:30,,0,[],2025-2-3,,,name15
20:30 20:45,20:30 20:45,,0,[],2025-2-3,,,name15
20:45 21:00,20:45 21:00,,0,[],2025-2-3,,,name15
21:00 21:15,21:00 21:15,,0,[],2025-2-3,,,name15
21:15 21:30,21:15 21:30,,0,[],2025-2-3,,,name15
21:30 21:45,21:30 21:45,,0,[],2025-2-3,,,name15
21:45 22:00,21:45 22:00,,0,[],2025-2-3,,,name15
22:00 22:15,22:00 22:15,,0,[],2025-2-3,,,name15
22:15 22:30,22:15 22:30,,0,[],2025-2-3,,,name15
